image_file,width,height,aspect_ratio,rms_contrast,lightness_entropy,complexity,edge_density,mean_L,mean_a,mean_b,color_entropy,mirror_symmetry,balance,fourier_slope,eoe_1st,eoe_2nd,ssim,lpips,lab_ok,rms_ok,edge_ok,eoe_ok,color_entropy_ok,fourier_ok,symmetry_ok,balance_ok,compliance_pct
12685_370533.jpg,900,,1.0,34.248,,8.338,108.546,35.081,0.6831,-1.079,3.856,66.785,9.182,,3.17,3.546,,,False,False,False,False,False,False,False,True,12.5
15342_480234.jpg,1800,,0.8,17.658,,0.9619,28.882,90.415,-2.42,16.254,3.349,5.04,41.812,,3.882,3.553,,,False,True,False,False,False,False,False,False,12.5
15342_480235.jpg,1800,,0.8,17.658,,0.9619,28.882,90.415,-2.42,16.254,3.349,5.04,41.812,,3.882,3.553,,,False,True,False,False,False,False,False,False,12.5
17052_266771.jpg,2000,,1.0,24.828,,3.733,58.282,85.548,1.398,4.345,2.71,7.759,32.876,,3.998,4.147,,,False,True,False,False,False,False,False,False,12.5
17052_266772.jpg,2000,,1.0,24.23,,3.873,59.09,84.944,1.525,3.744,2.417,8.014,34.457,,4.059,4.108,,,False,True,False,True,False,False,False,False,25.0
17052_266773.jpg,2000,,1.0,24.149,,3.838,58.942,85.03,1.491,3.751,2.353,8.128,33.957,,4.044,4.097,,,False,True,False,True,False,False,False,False,25.0
17052_266774.jpg,2000,,1.0,26.088,,4.18,58.457,83.583,1.54,3.731,2.48,8.189,33.28,,3.948,4.157,,,False,True,False,False,False,False,False,False,12.5
17053_397190.jpg,2000,,1.0,32.653,,3.983,96.008,59.768,2.613,6.125,4.179,32.527,15.876,,3.373,3.958,,,False,False,False,False,True,False,False,True,25.0
17053_397191.jpg,2000,,1.0,28.764,,3.226,66.598,75.835,1.026,4.373,3.505,12.39,21.218,,3.721,4.065,,,False,True,False,False,False,False,False,False,12.5
17053_397192.jpg,2000,,1.0,22.504,,2.576,56.267,81.317,0.2039,5.013,3.74,4.84,24.911,,4.109,4.326,,,False,True,False,True,False,False,True,False,37.5
17053_397193.jpg,2000,,1.0,34.306,,5.217,115.986,53.434,3.594,9.953,4.491,32.628,11.958,,3.627,3.987,,,False,False,False,False,True,False,False,True,25.0
18080_294699.jpg,900,,1.0,17.321,,2.326,34.633,93.845,1.949,1.78,1.754,5.043,31.992,,4.141,3.886,,,False,True,False,True,False,False,False,False,25.0
18086_294700.jpg,1600,,1.0,17.461,,2.339,69.743,91.651,-1.187,8.394,2.729,6.212,11.03,,4.405,4.3,,,False,True,False,True,False,False,False,True,37.5
18132_370551.jpg,1648,,0.7759,8.695,,1.973,24.544,95.111,0.1868,1.065,0.9488,0.3213,29.628,,4.133,4.253,,,False,False,False,True,False,False,True,False,25.0
19666_544781.jpg,2000,,1.0,21.401,,4.244,64.47,64.365,7.068,13.844,4.124,24.791,13.467,,3.516,3.927,,,False,True,False,False,True,False,False,True,37.5
19666_544783.jpg,2000,,1.0,27.965,,4.746,85.296,42.822,12.986,10.116,5.069,47.79,19.434,,4.539,4.526,,,False,True,False,True,True,False,False,True,50.0
19666_544785.jpg,2000,,1.0,21.532,,7.452,138.989,51.764,5.724,16.107,4.76,23.09,7.666,,4.038,4.42,,,False,True,False,True,True,False,False,True,50.0
19666_544786.jpg,2000,,1.0,19.677,,3.664,48.917,66.504,4.925,12.815,3.534,13.019,15.689,,3.878,4.066,,,False,True,False,False,False,False,False,True,25.0
19666_544789.jpg,2000,,1.0,20.565,,4.423,63.45,66.209,4.681,13.092,3.855,16.169,13.845,,4.386,4.469,,,False,True,False,True,False,False,False,True,37.5
19965_262463.jpg,1040,,1.208,39.007,,6.923,93.349,48.745,1.355,13.261,4.647,30.802,16.765,,3.645,3.952,,,False,False,False,False,True,False,False,True,25.0
21698_304727.jpg,1105,,1.376,13.829,,2.391,43.936,90.282,-7.274,-9.307,2.78,29.02,34.931,,4.464,4.2,,,False,False,False,True,False,False,False,False,12.5
21803_321625.jpg,1699,,1.1,12.764,,3.083,33.946,93.881,-1.367,-0.3902,2.928,2.654,35.696,,4.529,3.272,,,False,False,False,True,False,False,True,False,25.0
22488_455767.jpg,2000,,1.0,16.879,,4.096,109.279,58.883,37.808,48.158,5.119,16.468,3.507,,4.499,4.479,,,False,True,False,True,True,False,False,True,50.0
22488_455768.jpg,2000,,1.0,22.42,,4.567,87.999,58.613,11.348,27.508,4.497,24.75,10.602,,4.325,4.363,,,False,True,False,True,True,False,False,True,50.0
22488_455769.jpg,2000,,1.0,20.895,,6.246,111.847,60.827,20.802,31.424,4.37,17.644,8.255,,4.516,4.434,,,False,True,False,True,True,False,False,True,50.0
22488_455770.jpg,2000,,1.0,19.957,,4.795,75.569,69.28,12.816,24.49,3.86,12.707,15.305,,4.492,4.415,,,False,True,False,True,False,False,False,True,37.5
22488_455771.jpg,2000,,1.0,19.957,,4.795,75.569,69.28,12.816,24.49,3.86,12.707,15.305,,4.492,4.415,,,False,True,False,True,False,False,False,True,37.5
22535_304759.jpg,528,,0.76,11.813,,5.323,53.156,84.396,-9.914,-14.1642,3.967,55.655,15.801,,4.367,4.152,,,False,False,False,True,False,False,False,True,25.0
22538_304748.jpg,1600,,1.0,17.423,,1.853,47.64,84.231,20.96,0.8199,2.491,37.993,16.205,,4.475,4.265,,,False,True,False,True,False,False,False,True,37.5
22576_304358.jpg,1295,,0.5325,13.268,,2.717,43.023,90.128,4.659,5.387,2.672,22.913,27.781,,3.87,3.826,,,False,False,False,False,False,False,False,False,0.0
22576_304359.jpg,1295,,0.5325,13.268,,2.717,43.023,90.128,4.659,5.387,2.672,22.913,27.781,,3.87,3.826,,,False,False,False,False,False,False,False,False,0.0
22577_301204.jpg,454,,0.7328,15.857,,7.343,61.982,85.957,8.254,5.825,3.958,29.337,16.357,,4.463,4.328,,,False,True,False,True,False,False,False,True,37.5
22599_304634.png,1896,,1.0,21.928,,6.452,116.138,83.1,-0.2763,-0.272,3.198,2.922,7.514,,3.726,4.071,,,False,True,False,False,False,False,True,True,37.5
22601_304633.png,1300,,1.0,30.471,,27.516,110.416,42.774,-3.926,-3.607,2.277,57.792,12.062,,4.221,4.19,,,False,False,False,True,False,False,False,True,25.0
22602_304631.png,1797,,0.9036,39.183,,4.046,95.097,27.311,-0.2014,-0.13,1.829,54.383,25.462,,3.963,3.812,,,False,False,False,False,False,False,False,False,0.0
22602_304632.png,1797,,0.9036,39.183,,4.046,95.097,27.311,-0.2014,-0.13,1.829,54.383,25.462,,3.963,3.812,,,False,False,False,False,False,False,False,False,0.0
22604_304624.png,1769,,0.9124,41.701,,5.265,127.127,38.197,-0.2742,-0.1924,2.271,37.954,16.664,,3.522,3.834,,,False,False,False,False,False,False,False,True,12.5
22604_304629.png,1769,,0.9124,41.701,,5.265,127.127,38.197,-0.2742,-0.1924,2.271,37.954,16.664,,3.522,3.834,,,False,False,False,False,False,False,False,True,12.5
22605_304630.jpg,1000,,1.0,12.805,,4.793,59.308,90.442,0.04746,0.809,2.591,22.565,15.883,,3.29,3.699,,,False,False,False,False,False,False,False,True,12.5
22612_304605.png,1744,,0.8773,40.988,,5.731,117.562,35.247,-0.2645,-0.1681,2.212,42.83,18.872,,4.161,3.996,,,False,False,False,True,False,False,False,True,25.0
22612_304606.png,1744,,0.8773,40.988,,5.731,117.562,35.247,-0.2645,-0.1681,2.212,42.83,18.872,,4.161,3.996,,,False,False,False,True,False,False,False,True,25.0
23076_301649.jpg,2000,,1.0,27.319,,11.678,178.117,41.081,10.133,16.778,5.022,42.696,9.354,,4.188,4.365,,,False,True,False,True,True,False,False,True,50.0
23312_297262.jpg,900,,1.0,17.405,,5.481,66.527,90.461,5.142,-0.2746,3.843,3.619,24.903,,4.493,4.356,,,False,True,False,True,False,False,True,False,37.5
23312_48978.jpg,2000,,1.0,17.509,,3.625,66.867,90.507,5.232,-0.2577,3.644,3.558,24.951,,4.492,4.355,,,False,True,False,True,False,False,True,False,37.5
23313_48979.jpg,870,,0.7576,28.278,,6.548,81.059,19.355,-1.679,4.267,3.787,60.097,36.246,,4.145,4.24,,,False,True,False,True,False,False,False,False,25.0
23319_48985.jpg,2400,,1.0,25.418,,7.289,102.575,83.25,-2.684,2.414,3.29,25.843,34.329,,4.509,4.514,,,False,True,False,True,False,False,False,False,25.0
23335_307645.jpg,1300,,1.0,24.649,,3.6,72.379,87.701,5.312,4.629,2.144,8.573,28.838,,4.53,4.371,,,False,True,False,True,False,False,False,False,25.0
23336_49006.jpg,1027,,0.8741,12.354,,2.956,44.364,96.145,-1.408,2.22,1.775,0.3759,35.296,,4.182,4.246,,,False,False,False,True,False,False,True,False,25.0
23344_49014.jpg,788,,1.0,26.075,,3.016,46.659,86.198,-4.796,4.602,2.454,12.879,24.77,,4.503,4.136,,,False,True,False,True,False,False,False,False,25.0
23345_49015.jpg,1377,,0.7519,19.53,,2.956,60.532,90.094,-2.914,8.078,2.313,7.742,36.532,,4.499,4.393,,,False,True,False,True,False,False,False,False,25.0
23350_49020.jpg,2000,,1.0,22.564,,3.33,95.2,90.929,-2.039,2.895,1.88,5.515,53.762,,3.807,3.548,,,False,True,False,False,False,False,False,False,12.5
23362_49064.jpg,2240,,0.75,13.348,,2.473,37.368,67.275,9.68,6.658,4.162,55.055,8.263,,4.489,3.926,,,False,False,False,True,True,False,False,True,37.5
23364_49066.png,1293,,0.9015,16.958,,1.396,24.162,72.282,1.124,-3.532,5.101,12.821,15.357,,3.994,3.35,,,False,True,False,False,True,False,False,True,37.5
23365_49067.png,1134,,0.7393,11.802,,2.879,57.37,75.699,-0.4097,1.127,4.682,2.51,10.201,,4.549,4.432,,,False,False,False,True,True,False,True,True,50.0
23366_49068.png,1095,,0.8159,14.916,,1.084,19.204,72.525,6.461,3.532,4.753,20.576,12.904,,3.824,3.579,,,False,False,False,False,True,False,False,True,25.0
23726_303902.jpg,900,,1.0,17.803,,2.644,27.756,88.134,3.887,10.166,2.328,26.303,36.422,,3.55,3.656,,,False,True,False,False,False,False,False,False,12.5
24149_454305.jpg,2000,,1.0,22.727,,4.823,67.293,66.921,11.788,18.498,3.374,13.861,17.102,,3.919,3.957,,,False,True,False,False,False,False,False,True,25.0
24149_454306.jpg,2000,,1.0,26.365,,4.29,57.763,67.906,11.4,17.798,3.634,19.491,23.807,,4.208,4.182,,,False,True,False,True,False,False,False,False,25.0
24149_454307.jpg,2000,,1.0,30.25,,6.228,83.909,49.577,23.39,20.072,4.199,50.553,17.661,,4.29,4.116,,,False,False,False,True,True,False,False,True,37.5
24149_454308.jpg,2000,,1.0,28.913,,3.636,57.303,56.126,12.318,15.886,4.298,20.17,19.557,,4.403,4.363,,,False,True,False,True,True,False,False,True,50.0
